Altium Designer Pick and Place Locations
C:\Users\gheeraer\Documents\Altium\Mosaic-Portenta\Project Outputs for Free Documents\Pick Place\Pick Place for Mosaic-Alto.csv

========================================================================================================================
File Design Information:

Date:       30/08/23
Time:       14:49
Revision:   3cf1be27397bce02d4ede60f6b4f0b6396ed354d
Variant:    No variations
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"""
"J8,""535512-3"",""TopLayer"",""5355123"",""112.9050"",""42.2910"",""90"",""24 Pin Right Angle Female Header"""
"U8,""LMQ62440BPPQRJRRQ1"",""BottomLayer"",""LMQ62440BPPQRJRRQ1"",""86.6140"",""77.8260"",""90"",""3.3V 4A Switching Voltage Regulator"""
"U7,""TPS2116DRLR"",""BottomLayer"",""SOTFL50P160X60-8N"",""96.5200"",""71.2470"",""0"",""2.5A Power Multiplexer"""
"R43,""330R"",""BottomLayer"",""RESC1005X40N"",""83.8200"",""74.9300"",""180"",""0402I 330"""
"R42,""56k"",""BottomLayer"",""RESC1005X40N"",""82.5500"",""76.8350"",""180"",""0402I 56k"""
"R41,""100k"",""BottomLayer"",""RESC1005X40N"",""83.1850"",""78.3590"",""90"",""0402I 100k"""
"R40,""42.2k"",""BottomLayer"",""RESC1005X40N"",""86.1060"",""73.0250"",""270"",""0402I 42.2k"""
"R39,""1k"",""BottomLayer"",""RESC1005X40N"",""84.9630"",""70.7390"",""270"",""0402I 1k"""
"R38,""100k"",""BottomLayer"",""RESC1005X40N"",""83.4390"",""70.7390"",""90"",""0402I 100k"""
"R37,""10k"",""BottomLayer"",""RESC1005X40N"",""98.0440"",""69.4690"",""0"",""0402I 10k"""
"R3,""4.7k"",""TopLayer"",""RESC1005X40N"",""50.6730"",""47.7520"",""180"",""0402I 4.7k"""
"L6,""1.5uH"",""BottomLayer"",""INDC1005X55N"",""87.7570"",""82.1690"",""0"",""1.5uH Inductor"""
"J7,""794120-1"",""TopLayer"",""7941201"",""112.1410"",""67.9450"",""270"",""Right Angle PCB Header"""
"D6,""green"",""BottomLayer"",""APT1608ZGCAMT"",""81.4070"",""74.9300"",""0"",""0603 Green LED"""
"C48,""4.7pF"",""BottomLayer"",""CAPC1608X87N"",""84.9630"",""73.0250"",""270"",""0603 4.7pF"""
"C47,""22uF"",""BottomLayer"",""CAPC2012X145N"",""54.6100"",""67.9450"",""270"",""0805 22�F"""
"C46,""22uF"",""BottomLayer"",""CAPC2012X145N"",""56.3880"",""67.9450"",""270"",""0805 22�F"""
"C45,""22uF"",""BottomLayer"",""CAPC2012X145N"",""58.1660"",""67.9450"",""270"",""0805 22�F"""
"C44,""22uF"",""BottomLayer"",""CAPC2012X145N"",""59.9440"",""67.9450"",""270"",""0805 22�F"""
"C43,""0.1uF"",""BottomLayer"",""CAPC1005X55N"",""87.6300"",""81.0260"",""0"",""0402I 0.1�F"""
"C42,""0.1uF"",""BottomLayer"",""CAPC2012X145N"",""92.9640"",""78.1050"",""90"",""0805I 0.1�F"""
"C41,""0.1uF"",""BottomLayer"",""CAPC2012X145N"",""95.3770"",""76.0730"",""0"",""0805I 0.1�F"""
"C40,""1uF"",""BottomLayer"",""CAPC1608X100N"",""88.2650"",""73.0250"",""270"",""0603 1�F"""
"R27,""4.7k"",""TopLayer"",""RESC1005X40N"",""60.4520"",""52.9590"",""0"",""0402I 4.7k"""
"Y3,""24MHz"",""BottomLayer"",""LFXTAL071257Reel"",""53.7210"",""59.0550"",""0"",""24MHz +/-100ppm Crystal"""
"Y2,""24MHz"",""TopLayer"",""LFXTAL071257Reel"",""32.6390"",""75.9460"",""90"",""24MHz +/-100ppm Crystal"""
"Y1,""25MHz"",""TopLayer"",""LFXTAL055474REEL"",""63.6270"",""43.6880"",""0"",""25MHz +/-50ppm Crystal"""
"U6,""USB2532I-1080AEN"",""TopLayer"",""QFN50P600X600X100-37N-D"",""53.9810"",""52.6730"",""0"",""2-Port USB-2.0 Controller Hub"""
